lat,lon,temp_c,basement
40.6989,-120.8598,267.2,
38.2548,-112.2109,267.2,
39.3828,-122.6445,267.2,
41.075,-121.6835,267.1,
43.3938,-112.7601,267.1,
33.6798,-107.1315,267.1,
42.1404,-118.526,266.7,
43.2058,-114.8193,266.6,
41.075,-123.6055,266.6,
38.6308,-122.6445,266.5,
38.6935,-122.5072,266.5,
43.2058,-113.7211,266.4,
42.5164,-122.3699,266.3,
44.4592,-111.25,266.2,
43.6444,-113.3092,266.2,
33.8052,-107.1315,266.1,
38.8815,-123.1936,266.1,
36.0613,-121.6835,266.0,
37.6281,-119.0751,266.0,
43.7698,-111.9364,265.9,
37.3147,-117.8396,265.8,
43.2058,-113.9956,265.8,
41.639,-120.448,265.6,
41.9523,-118.9378,265.6,
41.5136,-122.9191,265.5,
43.7698,-113.8583,265.4,
42.015,-113.5838,265.4,
37.3774,-118.526,265.3,
38.3801,-118.526,265.3,
33.7425,-107.2687,265.2,
41.3256,-121.4089,265.1,
42.7671,-122.3699,264.8,
37.1267,-118.2514,264.7,
41.5136,-122.3699,264.6,
41.8897,-122.0954,264.5,
39.7589,-112.4855,264.5,
44.5845,-111.25,264.5,
41.7643,-124.0173,264.3,
35.9986,-117.4277,264.3,
39.1322,-123.4682,264.1,
43.6444,-111.6618,264.1,
43.9578,-110.7008,263.9,
38.4428,-123.0563,263.8,
36.312,-121.9581,263.8,
36.6253,-117.7023,263.8,
41.451,-121.9581,263.2,
43.0804,-115.3685,263.2,
43.0177,-114.1329,263.2,
38.6308,-122.3699,263.1,
37.252,-117.9768,262.9,
40.8869,-119.3497,262.8,
43.9578,-112.6228,262.8,
39.2575,-122.6445,262.7,
43.1431,-113.5838,262.7,
44.8352,-111.5245,262.6,
40.0096,-123.4682,262.6,
43.5191,-122.3699,262.6,
37.9414,-118.6633,262.4,
43.6444,-111.9364,262.3,
44.3965,-110.289,262.3,
42.015,-124.0173,262.2,
38.9442,-123.6055,262.1,
36.2493,-116.8786,261.9,
38.8815,-123.4682,261.8,
37.3147,-118.1141,261.8,
42.7044,-123.88,261.8,
43.7698,-112.4855,261.8,
37.0014,-117.4277,261.7,
41.8897,-114.9566,261.7,
39.7589,-123.4682,261.6,
41.7643,-114.682,261.6,
36.8134,-117.8396,261.4,
41.5136,-121.5462,261.3,
42.1404,-117.7023,261.3,
44.7099,-110.7008,261.3,
34.3692,-116.3294,261.2,
44.1458,-110.5635,261.2,
41.2003,-120.0361,261.1,
43.7071,-112.6228,261.1,
41.0123,-124.0173,261.1,
41.5136,-122.0954,261.0,
40.6363,-119.3497,261.0,
37.6281,-117.9768,260.9,
41.1376,-121.5462,260.8,
39.6335,-106.9942,260.8,
38.8188,-123.0563,260.7,
44.7099,-110.4263,260.7,
39.6335,-119.6243,260.6,
33.5545,-107.1315,260.4,
33.7425,-106.9942,260.0,
42.6417,-121.5462,259.8,
36.2493,-117.9768,259.8,
41.7017,-118.9378,259.7,
43.4564,-122.2326,259.7,
41.1376,-119.6243,259.7,
42.2657,-116.8786,259.7,
41.7643,-118.526,259.6,
41.0123,-121.2717,259.5,
43.3938,-114.682,259.5,
43.5818,-112.8974,259.5,
41.263,-123.4682,259.4,
41.7017,-120.3107,259.4,
36.312,-117.8396,259.4,
37.6281,-118.526,259.4,
43.0804,-114.8193,259.4,
41.7017,-122.2326,259.3,
42.0777,-122.2326,259.3,
43.0804,-113.4465,259.2,
